WigleWifi-1.4,appRelease=2.26,model=ONEPLUS A3010,release=7.1.1,device=OnePlus3T,display=ONEPLUS A3010_28_171012,board=QC_Reference_Phone,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:08:a1:38,Ariel_University,[ESS],2017-11-01 14:36:50,1,-83,32.1039271,35.2067212,669,6.067999839782715,WIFI
30:e1:71:0d:e0:57,DIRECT-56-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-01 14:37:17,6,-93,32.10369894,35.20696385,669,4.550999641418457,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-01 14:37:17,48,-83,32.10369894,35.20696385,669,4.550999641418457,WIFI
ec:8c:a2:08:a3:bc,Ariel_University,[ESS],2017-11-01 14:37:17,52,-91,32.10369894,35.20696385,669,4.550999641418457,WIFI
ec:8c:a2:88:a3:b7,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:37:20,52,-87,32.1036534,35.20696595,669,7.585000038146973,WIFI
ec:8c:a2:08:a3:b8,Ariel_University,[ESS],2017-11-01 14:37:20,11,-85,32.1036534,35.20696595,669,7.585000038146973,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:37:25,0,-83,32.10360485,35.207005,669,6.067999839782715,GSM
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-01 14:37:35,48,-74,32.10363559,35.20718259,670,4.550999641418457,WIFI
ec:8c:a2:08:a3:bc,Ariel_University,[ESS],2017-11-01 14:37:35,52,-84,32.10363559,35.20718259,670,4.550999641418457,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-01 14:37:35,1,-77,32.10363559,35.20718259,670,4.550999641418457,WIFI
ec:8c:a2:8a:11:97,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:37:45,44,-89,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:26:ae:28,Ariel_University,[ESS],2017-11-01 14:37:45,11,-79,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:09:84:fc,Ariel_University,[ESS],2017-11-01 14:37:45,36,-87,32.1035762,35.20731852,671,6.067999839782715,WIFI
1c:b9:c4:15:36:7c,Ariel_University,[ESS],2017-11-01 14:37:45,36,-89,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:09:86:4c,Ariel_University,[ESS],2017-11-01 14:37:45,44,-91,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:08:ab:dc,Ariel_University,[ESS],2017-11-01 14:37:45,36,-91,32.1035762,35.20731852,671,6.067999839782715,WIFI
1c:b9:c4:16:28:88,Ariel_University,[ESS],2017-11-01 14:37:45,11,-87,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:0a:11:98,Ariel_University,[ESS],2017-11-01 14:37:45,11,-88,32.1035762,35.20731852,671,6.067999839782715,WIFI
ec:8c:a2:26:b0:58,Ariel_University,[ESS],2017-11-01 14:37:53,1,-65,32.10350121,35.20743708,672,6.067999839782715,WIFI
ec:8c:a2:09:8e:dc,Ariel_University,[ESS],2017-11-01 14:37:53,44,-86,32.10350121,35.20743708,672,6.067999839782715,WIFI
ec:8c:a2:08:7a:18,Ariel_University,[ESS],2017-11-01 14:37:53,1,-81,32.10350121,35.20743708,672,6.067999839782715,WIFI
a0:8c:fd:0a:14:5b,DIRECT-F1-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:05,6,-91,32.10354376,35.20762713,671,9.101999282836914,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS],2017-11-01 14:38:15,44,-89,32.10349384,35.20770535,678,6.067999839782715,WIFI
00:25:86:cb:fd:f8,,[ESS],2017-11-01 14:38:15,9,-86,32.10349384,35.20770535,678,6.067999839782715,WIFI
ec:8c:a2:08:7a:1c,Ariel_University,[ESS],2017-11-01 14:38:23,48,-68,32.10347322,35.2077653,686,6.067999839782715,WIFI
ec:8c:a2:09:8c:3c,Ariel_University,[ESS],2017-11-01 14:38:23,52,-90,32.10347322,35.2077653,686,6.067999839782715,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS],2017-11-01 14:38:23,11,-91,32.10347322,35.2077653,686,6.067999839782715,WIFI
ec:8c:a2:88:7a:17,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:38,48,-75,32.10346646,35.20799775,685,6.067999839782715,WIFI
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],2017-11-01 14:38:38,1,-78,32.10346646,35.20799775,685,6.067999839782715,WIFI
ec:8c:a2:09:03:3c,Ariel_University,[ESS],2017-11-01 14:38:38,44,-89,32.10346646,35.20799775,685,6.067999839782715,WIFI
ec:8c:a2:09:03:38,Ariel_University,[ESS],2017-11-01 14:38:38,1,-87,32.10346646,35.20799775,685,6.067999839782715,WIFI
42503_6701_4464091,Rami Levy,HSPA;il,2017-11-01 14:38:39,0,-83,32.10346783,35.2080131,684,6.067999839782715,GSM
ec:8c:a2:88:78:37,,[WPA2-PSK-CCMP][ESS],2017-11-01 14:38:45,56,-82,32.10347197,35.20808082,683,4.550999641418457,WIFI
